idx         -e        time(s)           relative         enabled geometry description                                              
132        115         0.0036             0.2445         ONLY: HamamatsuR12860sMask_virtual                                        
133        104         0.0037             0.2519         ONLY: HamamatsuR12860sMask                                                
134        114         0.0038             0.2588         ONLY: HamamatsuR12860_PMT_20inch_pmt_solid_1_4                            
135         15         0.0040             0.2705         ONLY: sExpHall                                                            
136         95         0.0041             0.2744         ONLY: sAcrylic                                                            
137        135         0.0041             0.2763         ONLY: sReflectorInCD                                                      
138          0         0.0041             0.2769         ONLY: sTopRock_domeAir                                                    
139         94         0.0041             0.2788         ONLY: sTarget                                                             
140        130         0.0042             0.2801         ONLY: sChimneyAcrylic                                                     
141        124         0.0044             0.2983         ONLY: NNVTMCPPMTsMask_virtual                                             
142        116         0.0047             0.3145         ONLY: NNVTMCPPMTsMask                                                     
143        105         0.0067             0.4514         ONLY: HamamatsuR12860Tail                                                 
144        117         0.0074             0.4991         ONLY: NNVTMCPPMTTail                                                      
145     t103,1         0.0075             0.5072         EXCL: solidXJfixture sTopRock_dome                                        
146   t103,105         0.0078             0.5225         EXCL: solidXJfixture HamamatsuR12860Tail                                  
147    t103,29         0.0078             0.5237         EXCL: solidXJfixture GLw2.equ_bt01_FlangeI_Web_FlangeII                   
148   t103,138         0.0079             0.5319         EXCL: solidXJfixture PMT_20inch_veto_inner2_solid                         
149   t103,122         0.0079             0.5333         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_inner_solid_head               
150   t103,146         0.0080             0.5350         EXCL: solidXJfixture solidSJReceiverFastern                               
151     t103,8         0.0080             0.5354         EXCL: solidXJfixture sBar                                                 
152    t103,84         0.0080             0.5360         EXCL: solidXJfixture ZC2.A06_B07_FlangeI_Web_FlangeII                     
153    t103,24         0.0080             0.5361         EXCL: solidXJfixture GLw1.up04_up05_FlangeI_Web_FlangeII                  
154    t103,83         0.0080             0.5369         EXCL: solidXJfixture ZC2.A05_B06_FlangeI_Web_FlangeII                     
155   t103,147         0.0080             0.5373         EXCL: solidXJfixture uni1                                                 
156    t103,17         0.0080             0.5374         EXCL: solidXJfixture sTopRock                                             
157    t103,22         0.0080             0.5380         EXCL: solidXJfixture GLw1.up06_up07_FlangeI_Web_FlangeII                  
158   t103,103         0.0080             0.5383         EXCL: solidXJfixture solidXJfixture                                       
159   t103,110         0.0080             0.5386         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_dynode_tube_solid         
160    t103,63         0.0080             0.5395         EXCL: solidXJfixture GZ1.A01_02_FlangeI_Web_FlangeII                      
161    t103,50         0.0080             0.5404         EXCL: solidXJfixture GLb1.up01_FlangeI_Web_FlangeII                       
162    t103,35         0.0080             0.5410         EXCL: solidXJfixture GLw1.bt06_bt07_FlangeI_Web_FlangeII                  
163    t103,70         0.0080             0.5415         EXCL: solidXJfixture GZ1.B02_03_FlangeI_Web_FlangeII                      
164    t103,67         0.0080             0.5417         EXCL: solidXJfixture GZ1.A05_06_FlangeI_Web_FlangeII                      
165   t103,131         0.0081             0.5418         EXCL: solidXJfixture sChimneyLS                                           
166    t103,19         0.0081             0.5419         EXCL: solidXJfixture GLw1.up09_up10_FlangeI_Web_FlangeII                  
167    t103,87         0.0081             0.5426         EXCL: solidXJfixture ZC2.B05_B05_FlangeI_Web_FlangeII                     
168    t103,75         0.0081             0.5426         EXCL: solidXJfixture ZC2.A02_B02_FlangeI_Web_FlangeII                     
169    t103,46         0.0081             0.5426         EXCL: solidXJfixture GLb1.up05_FlangeI_Web_FlangeII                       
170    t103,99         0.0081             0.5426         EXCL: solidXJfixture uni1                                                 
171    t103,89         0.0081             0.5429         EXCL: solidXJfixture ZC2.A05_A05_FlangeI_Web_FlangeII                     
172   t103,140         0.0081             0.5438         EXCL: solidXJfixture PMT_20inch_veto_pmt_solid_1_2                        
173    t103,93         0.0081             0.5439         EXCL: solidXJfixture solidSJReceiverFastern                               
174       t103         0.0081             0.5441         EXCL: solidXJfixture                                                      
